Vietnamese; English ; Uppercase-Slug  
An Giang; An Giang; AN-GIANG 
Bà Rịa - Vũng Tàu; Ba Ria - Vung Tau; BA-RIA-VUNG-TAU 
Bạc Liêu; Bac Lieu; BAC-LIEU 
Bắc Kạn; Bac Kan; BAC-KAN 
Bắc Giang; Bac Giang; BAC-GIANG 
Bắc Ninh; Bac Ninh; BAC-NINH 
Bến Tre; Ben Tre; BEN-TRE 
Bình Dương; Binh Duong; BINH-DUONG 
Bình Định; Binh Dinh; BINH-DINH 
Bình Phước; Binh Phuoc; BINH-PHUOC 
Bình Thuận; Binh Thuan; BINH-THUAN 
Cà Mau; Ca Mau; CA-MAU 
Cao Bằng; Cao Bang; CAO-BANG 
Cần Thơ; Can Tho; CAN-THO 
Đà Nẵng; Da Nang; DA-NANG 
Đắk Lắk; Dak Lak; DAK-LAK 
Đắk Nông; Dak Nong; DAK-NONG 
Đồng Nai; Dong Nai; DONG-NAI 
Đồng Tháp; Dong Thap; DONG-THAP 
Điện Biên; Dien Bien; DIEN-BIEN 
Gia Lai; Gia Lai; GIA-LAI 
Hà Giang; Ha Giang; HA-GIANG 
Hà Nam; Ha Nam; HA-NAM 
Hà Nội; Ha Noi; HA-NOI 
Hà Tĩnh; Ha Tinh; HA-TINH 
Hải Dương; Hai Duong; HAI-DUONG 
Hải Phòng; Hai Phong; HAI-PHONG 
Hòa Bình; Hoa Binh; HOA-BINH 
Hậu Giang; Hau Giang; HAU-GIANG 
Hưng Yên; Hung Yen; HUNG-YEN 
Hồ Chí Minh; Ho Chi Minh; HO-CHI-MINH 
Khánh Hòa; Khanh Hoa; KHANH-HOA 
Kiên Giang; Kien Giang; KIEN-GIANG 
Kon Tum; Kon Tum; KON-TUM 
Lai Châu; Lai Chau; LAI-CHAU 
Lào Cai; Lao Cai; LAO-CAI 
Lạng Sơn; Lang Son; LANG-SON 
Lâm Đồng; Lam Dong; LAM-DONG 
Long An; Long An; LONG-AN 
Nam Định; Nam Dinh; NAM-DINH 
Nghệ An; Nghe An; NGHE-AN 
Ninh Bình; Ninh Binh; NINH-BINH 
Ninh Thuận; Ninh Thuan; NINH-THUAN 
Phú Thọ; Phu Tho; PHU-THO 
Phú Yên; Phu Yen; PHU-YEN 
Quảng Bình; Quang Binh; QUANG-BINH 
Quảng Nam; Quang Nam; QUANG-NAM 
Quảng Ngãi; Quang Ngai; QUANG-NGAI 
Quảng Ninh; Quang Ninh; QUANG-NINH 
Quảng Trị; Quang Tri; QUANG-TRI 
Sóc Trăng; Soc Trang; SOC-TRANG 
Sơn La; Son La; SON-LA 
Tây Ninh; Tay Ninh; TAY-NINH 
Thái Bình; Thai Binh; THAI-BINH 
Thái Nguyên; Thai Nguyen; THAI-NGUYEN 
Thanh Hóa; Thanh Hoa; THANH-HOA 
Thừa Thiên - Huế; Thua Thien - Hue; THUA-THIEN-HUE 
Tiền Giang; Tien Giang; TIEN-GIANG 
Trà Vinh; Tra Vinh; TRA-VINH 
Tuyên Quang; Tuyen Quang; TUYEN-QUANG 
Vĩnh Long; Vinh Long; VINH-LONG 
Vĩnh Phúc; Vinh Phuc; VINH-PHUC 
Yên Bái; Yen Bai; YEN-BAI 
